Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
TTS Packaging Sdn Bhd(508866-V)",Alex Lee,Director,Kevin Hah,Director,2000,"Plot 17A, Medan Tasek, 
Kawasan Perindustrian Tasek, 
Ipoh
",31400,Perak,Malaysia,605-546 1046,"PE,PET, BOPP, Nylon
","Film Blowing/Film Extrusion ,Printing, Bag Making, Slitting
","Films and Bags
,Films and Bags",,,,,,,,,
"
Tube Home (M) Sdn Bhd(206062-P)",Y. Bhg Dato' Tan Yok Chin,Chairman,Tan Kai Lim,Managing Director,1976,"6, Jalan Perusahaan 2, 
Kawasan Perusahaan Beranang, 
Hulu Langat
",43700,Selangor,Malaysia,603-8766 6003,"TUBE HOME
","PP, Steel, Timber, Aluminium
","Injection Moulding
",,,,,,,,,
"
Tycoplas Sdn Bhd(720301-A)",Hedy Yong Guay Leng,Managing Director,Yong Lip Ngoh,Executive Director,2006,"Lot 2222, Jalan Hospital, 
Sungai Boloh, Industrial Area, 
Sungai Buloh
",47000,Selangor,Malaysia,603-6141 4346,"TAGE
","PP, PS, PET, HIPS, LDPE
","Foam Moulding, Injection Moulding,Thermoforming , Lamination
",,,,,,,,,
"
Tylon Manufacturing (Malaysia) Sdn Bhd(337961-A)",Kiyokazu Endo,Director,Daisaku Hasuo,Factory Manager,1988,"Lot 5, 
Persiaran Perusahaan Seksyen 23, 
Shah Alam
",40000,Selangor,Malaysia,603-5541 6066,"LMW
","ISO 9001, ISO 14001, OSHAS 18001
","ABS, PMMA, POM, PP, PS
",,,,,,,,,
"
UB Acrylic (M) Sdn Bhd(124894-D)",Madam Ong Gaik Choo,Chairman,Simon Teoh Say Boon,CEO,1984,"8 & 9, 
Jalan Indah 2/7, Taman Indah, 11 Miles, 
Cheras
",43200,Selangor,Malaysia,603-9076 8962/5640,"UB Acrylic
","ISO 9001 : 2008
","PMMA, MMA (Methyl Methacrylate Monomer)
",,,,,,,,,
"
Uhua-Plas Industries Sdn Bhd(1615335)",Wong Giak Seng,Managing Director,Alex Wong,Management Executive,1987,"5, Jalan KPK 1/3, 
Kawasan Perindustrian Kundang
",48020,Rawang,Selangor,Malaysia,"
www.uhuaplasindustries.com,","HDPE, PP, PET
","Blow Moulding, Injection Moulding
",,,,,,,,,
"
U-Lik (M) Sdn Bhd(26648-T)",Terence Lau,CEO,Terence Lau,CEO,1976,"Lot 4842, Balakong N/V, 
Seri Kembangan
",43300,Selangor,Malaysia,603-8961 1149,"U-LIK
","ISO 9001 : 2008; ISO 22000 : 2005
","ABS, PE, PP, PS, PET-G
",,,,,,,,,
"
Umax Enterprise",Lim Chin Siang,Managing Director,Lim Chin Siang,Managing Director,2009,"C-33, Jalan 2A-5, 
Kawasan Perindustrian Ringan Sg Lalang, 
Sungai Petani
",8000,Kedah,Malaysia,604-442 2275,"PE
","Film Blowing/Film Extrusion 
","PE Bags
,Films and Bags",,,,,,,,,
"
Uniang Plastic Industries (Sabah) Sdn Bhd(57039-H)",Datuk Alan Ang Poon Seong,Managing Director,Chua Chiew Gee,Operation Manager,1980,"11.2km, Jalan Tuaran, 
Inanam
",89350,Sabah,Malaysia,6088-423 881,"UNIANG
","PET, PP (Film), LLDPE, HDPE, OPP, CPP, MCPP, PET, MPET, Nylon Film
","Film Blowing/Film Extrusion , Lamination, Printing, Slitting, Bagging
",,,,,,,,,
"
Unimexco Industries Sdn Bhd(30092-V)",CK Lee,Chief Executive Officer,CS Yong,Operation Manager,1975,"Lot 24, Jalan Industri 3/1, 
Gopeng Industrial Park, 
Jalan Gopeng, Gopeng
",31600,Perak,Malaysia,605-357 8122/1633,"ABS, PP, PVC
","Pipe Extrusion
","PVC Tubes, Hoses,uPVC Doors, uPVC Hydroponic Pipes & Profiles
,Films and Bags, Industrial and Construction",,,,,,,,,
"
Union-Poly Plastics Industries Sdn Bhd(203633-M)",Ng Choon Nam,Director,Loh Soo Leng,Director,1990,"Lot 97, Seksyen 92, 
Jalan Enam, Off Jalan Chan Sow Lin
",55200,Kuala Lumpur,Wilayah Persekutuan,Malaysia,"STAR - UNIPOLY
","BS 4346, BS 4514
","ABS, PP, PVC, uPVC, Nylon
",,,,,,,,,
"
Unip Plastic Industries Sdn Bhd(183257 X)",Wong Peng Soon,Managing Director,Choong Moi Kwee,Director,1989,"Lot 3, Jalan CJ1/6, 
Kaw. Perusahaan Cheras Jaya, Jalan Balakong, 
Batu 11, Cheras
",43200,Selangor,Malaysia,603-9074 2451,"ISO 9001 : 2008
","ABS, PET, PP, PS, SAN
","Injection Moulding
",,,,,,,,,
"
Unipipes (M) Sdn Bhd(50233-A)",Ewe Boon Siew,Chairman,Chuah Chee Leong,Managing Director,1979,"Lot 489, Lorong Perusahaan Baru 2, 
Prai Industrial Estate, 
Prai
",13600,Pulau Pinang,Malaysia,604-390 3816,"ISO 9001 : 2000
","ABS, PA, PC, PE, PMMA, POM, PS, SAN
","Injection Moulding , Spray-painting, Silkscreen-painting, Hot Stamping, Hot Roll and Assembly, Tool Design and Construction
",,,,,,,,,
"
Unique Capability Sdn Bhd(267036-D)",Oo Kwang Tung,Director,Oo Kwang Tung,Director,1993,"Lot 252, Jalan Kuala Selangor, 
IJOK, 
Batang Berjuntai
",45620,Selangor,Malaysia,603-6038 1000/1003,"PVC
","Recycling
","PVC Compound
",,,,,,,,,
"
Unique Diamond Sdn Bhd",Gan Boon Khim,Managing Director,Wang Kim Suan,Operations Manager,1992,"Lot 2735, Jalan Raja Nong, 
Taman Sentosa, 
Klang
",41200,Selangor,Malaysia,603-5162 1268/126/1266,"MIL Standard 105e
","ABS, PBTP, PC, PE, PMMA, POM, PP, PS
","Injection Moulding , Spray-painting, Silkscreen-painting, Pad-printing, Hot stamping, Sub Assembly
",,,,,,,,,
"
Unique Plastic Industries Sdn Bhd",Wong Hai Siang,Managing Director,"Lot 68, Jalan Sg Ma'aw, Sg Bedut, 
P.O.Box 1599, 
Sibu
",96008,Sarawak,Malaysia,6084-311 011,6084-313 881,"PE, PS
","Film Blowing/Film Extrusion, Thermoforming
",None,None,None,,,,,,,,,
"
United Blue Star Plastics Sdn Bhd(316396-A)",Ching Yong Kong,Chairman,Jason Ching Wai Min,Managing Director,1961,"Plot 1031, Lorong Makmur 4/7, 
Kawasan Perusahaan Taman Makmur, 
Lunas, Sungai Seluang
",9600,Kedah,Malaysia,604-484 7685,"PE, PP, HDPE, LLDPE
","Film Blowing/Film Extrusion , Slitting
","OEM Manufacturing (Film Blowing), Laundry Bags, Shopping Bags, Garment Bags, Slitting Film
,Films and Bags, OEM Manufacturing",,,,,,,,,
"
United Plastics Sdn Bhd(4692-A)",Richard Tan,Managing Director,Chen Teck Keen,Sales Manager,1962,"PLO 12, Jalan Perindustrian, 
Kawasan Perindustrian Senai, 
Senai
",81400,Johor,Malaysia,607-599 2489,"UNICA, UNIPLAS
","PP, HDPE, AS
","Blow Moulding, Injection Moulding , Silkscreen-painting, Pad-printing
",,,,,,,,,
"
Universal Plastics Industries Sdn Bhd(12359-T)",Hah Kar Kian,CEO,Hah Kar Kian,CEO,1972,"4-5, Lorong Mak Mandin Satu, 
Mak Mandin Industrial Estate, 
Butterworth
",13400,Pulau Pinang,Malaysia,"604-323 1522, 331 2780/8163","Film Blowing/Film Extrusion
","Plain and Printed LDP, HDPE and PP Bags, Heavy Duty LDPE Rice Bags, Agricultural Bags, Side-Sealed Bags (Envelopes, Self-adhesives), Shrink-Wrap, Bag on Rolls , Multicolour Printing, Laminated Products for Flexible Packaging, Packaging Film or Roll for Automatic Packing
,Agricultural,Films and Bags","Australia, Japan
",,,,,,,,,
"
User Plastic Trading(AS0126945-P)",Lim Ewe Guan,Sole Proprietor,Lim Ewe Guan,Sole Proprietor,1991,"4714, Jalan Ong Yi How, 
Butterworth
",13400,Pulau Pinang,Malaysia,604-331 0528,"Injection Moulding
","Houseware, Stationary, Toys
, Houseware, Stationery, Toys, Games, Sports",None,,,,,,,,,
"
USMP Industries Sdn Bhd",Kelvin Kiu Kong Ik,None,None,None,2007,"Lot 1528 - 1529, Permy Technology Park, 
Bandar Baru Permyjaya, Jalan Tudan, 
Miri
",98100,Sarawak,Malaysia,6085-661 500,6085-660 400,"HDPE
","Film Blowing/Film Extrusion 
",None,None,None,,,,,,
"
V.S. Industry Sdn Bhd",Beh Kim Ling,Executive Chairman,Gan Tiong Sia,Executive Director,1982,"PLO 39, Senai Industrial Estate, 
Senai
",81400,Johor,Malaysia,607-599 4199,"UL, ISO 9002
",Executive Director,"Injection Moulding , Spray-painting, Silkscreen-painting, Hot Stamping, Tampo Printing, Mould Design and Fabrication, AI, SMT, COB and Electronics Assembly
","Radio Parts, TV and Telephone Parts, Electronic Parts, Remote Control Unit Assembly
,Electrical and Electronics, Stationery, Telecommunication",,,,,,,,
"
Various Resources (M) Sdn Bhd(561608-T)",Tang Hong Koon,Managing Director,Alices Gor,General Manager,2001,"23, Jalan Idaman 1/1, 
Senai Industrial Park, 
Senai
",81400,Johor,Malaysia,607-599 4880/5880,"ISO 9001 : 2008, ISO 14001 : 2004
","LDPE, HDPE, LLDPE
","Film Blowing/Film Extrusion, Foam Moulding , Lamination
","PE Foam, LDPE/HDPE Films or Bags
,Films and Bags,Foam",,,,,,,,
"
Versatile Creative Plastic Sdn Bhd",Teo Teng Chief,Operating Officer,Teo Teng,Chief Operating Officer,1985,"5, Jalan Teras 4, 
Kawasan Industri Teras, 
Taman Industri Selesa Jaya, Balakong
",43300,Selangor,Malaysia,603-8961 3083,"PE, PP, PS, HIPS
","Injection Moulding, Thermoforming , Printing, Shrink Sleeving, Paper Sleeving, In-mould Labeling
","Thinwall Containers, PP Cups, Plastic Lids, Closures, Thermoform Cups, Inmould Label (IML) Containers, Scoop
,Containers and Bottles","Singapore, Philippines, Australia, Bangladesh, Thailand
",,,,,,,,
"
Vinyl Base Sdn Bhd(528923-U)",Teh Chin Huat,Managing Director,Ban Kam Seng,Operations Manager,2000,"16, Jalan Kilang 1, 
Jelapang Light Industrial Estate, 
Ipoh
",30100,Perak,Malaysia,605-526 2667,"VINYL BASE
","ISO 9001 : 2015
","PVC
","Compounds
",,,,,,,,
"
Viscount Plastics (M) Sdn Bhd(27445-X)",Andi Hartanto,Managing Director,SK Liew,Assist. Sales & Marketing Manager,1976,"10, Jalan P/2, 
Kawasan Perusahaan Bangi, 
Bandar Baru Bangi
",43650,Selangor,Malaysia,603-8925 0921,"VISCOUNT PLATICS, YUTA
","MS ISO 9001 : 2008, MS ISO 14001 : 2004, BS : 7320 : 1990
","PP, HDPE
","Injection Moulding , Silkscreen-painting, Offset Printing, Heat Transfer Film and In-Mould-Labelling and Decoration, Ultrasonic Welding
",,,,,,,,
"
Viva Plastic Industries(IP0159139-A)",Choi Yee Nam,Choi Yee Nam,None,None,2001,"20, Persiaran Industri Bercham 6, 
Off Jalan Bercham, Kaw Perindustrian Ringan Bercham, 
Ipoh
",31400,Perak,Malaysia,605-549 5392,605-545 8336,"
vivaplas@gmail.com
,","LDPE/LLDPE Film, LDPE/LDDPE Sheet, LDPE/LLDPE Bags (Plain/Printed), Industrial Used Bag, Hevy Duty Bag, 8 Color Gravure Painting
,Films and Bags, Industrial and Construction",None,None,None,,,,,,
"
VP Plastics Sdn Bhd(242071-V)",Gerald Ng,Managing Director,Lim Ki Ying,Assistant General Manager,1992,"1029, Lorong Perusahaan Dua, 
Prai Industrial Estate, 
Prai
",13600,Pulau Pinang,Malaysia,"604-390 5690, 399 9986","DECO, ECON
","ISO 9001 : 2008
","PVC
","Profile Extrusion
",,,,,,,,
"
Wah Ngai Industries (M) Sdn Bhd(39228V)",Wong Chee Mun,General Manager (013-521 9545),Song Wai Yee,Marketing & Development,1978,"17, 19, 21, Klebang Bistari 3, 
Kawasan Perindustrian Klebang Bistari, 
Chemor
",31200,Perak,Malaysia,605-291 6260/3106/9853,"PET, PVC, HIPS
","Thermoforming,Plastic Vacuum Forming
","Blisters Pack, Containers, Tray, Clamshell, Cylinder
,Containers and Bottles, Houseware, Medical","Singapore, Thailand, Hong Kong, Australia, England
",,,,,,,,
"
Wan Cheng Plastic Industries Sdn Bhd(399634-D)",Lim Choo Choon,Director,Lim Ti Huoi,Marketing Executive,"1198, Jalan Maklum, 
Sungai Dua, 
Butterworth
",13800,Pulau Pinang,Malaysia,604-356 5118,604-3567 118,"ISO 9001 : 2015
","ABS, PE, PET, PP ,PS, HDPE, LDPE, Nylon
","Blow Moulding, Injection Moulding
","Chemical Paste, Shoe White, Super Oil, Plastic Products, Stationery Glue, Children's Spoon, Pencil Box, White Glue (Latex), Plastic Ruler, Jelly Cup, Comb, Hair Gel
,Children, Houseware, Stationery, Toiletries Personal Items",,,,,,,,
"
Wangsaga Industries Sdn Bhd(347584-P)",Loh Kok Beng,Director,Loh Joo Eng,General Manager,1995,"Plt 159, MK 13, Jalan Perindustrian Bukit Minyak 7, 
Bukit Minyak Industrial Park, 
Bukit Mertajam
",14000,Pulau Pinang,Malaysia,604-507 5808,"EKONOR
","PVC
","Calendering , Recycling, Printing
","PVC Floor Covering, PVC Sponge Floor Covering, PVC Transparent, PVC Sheeting, Table Cloth, Car Mat, PVC Translucent (Transparent)
,Furniture, Stationery",,,,,,,,
"
Wanpow Plastic Industries Sdn Bhd(592452-M)",Lee Chua,Managing Director,Provin Tan,Sales Manager,2002,"2, Jalan P4/3, 
Bandar Teknologi Kajang, 
Semenyih
",43500,Selangor,Malaysia,603 - 8723 1487,"WANPOW
","ISO 9001 : 2008, ISO 13485
","ABS, PC, PE, PP, PS, AS
","Blow Moulding, Film Blowing/ Film Extrusion, Injection Moulding , Pad-printing, Ultrasonic Welding
",,,,,,,,
"
Watertec (Malaysia) Sdn Bhd(98549-K)",Low Han Sin,Managing Director,Mollie Wong,Finance Director,1983,"Lot 3, Jalan Halba Satu 16/16, 
Section 16, 
Shah Alam
",40200,Selangor,Malaysia,603-5510 7808,"WATERTEC, PLAZA, CAPRI
","ABS, EVA, PA, PBTP, PC, PE, PET, PMMA, POM, PP, PPO, PS, PVC, SAN
","Injection Moulding 
","Taps, Valves, Showers, Plumbing Fittings, Bathroom Accessories and Contract Moulding
,Bathroom/Toilet, Industrial and Construction, OEM Manufacturing",,,,,,,,
"
Weida Integrated Industries Sdn Bhd - Sabah(168925-U)",Tan Yak Khoon,Chief Executive Officer,Nick Pang,General Manager - Sales,1988,"Lot 57, Sedco Light Industrial Estate, 
Lok Kawi, 
Kota Kinabalu
",88801,Sabah,Malaysia,6088-752 996,"POLYSTOR*R,ECOSEPT*R, POLYSEPT*R,POLYPASS*R, WEIDALINE*R (Class17),19), DURABIN*R,POLYLOAD*R, WEIDACRAFT*R, WEIDAFLOAT*R, FLOLINE 3-W*TM
","HDPE
","Pipe Extrusion, Extrusion Winding, Rotational Moulding
","Water, Chemical Storage Tanks, Septic Tank, Sewage Treatment System, Waste Bins, Agriculture Tanks, Knapsack Sprayer, HDPE Straight and Coil Pipe, Refuse Bins, Traffic Signage, Planter Boxes and Other Customised Products
, Industrial and Construction",,,,,,,,
"
Weidasar Sdn Bhd",Tuan Haji Su'ut B. Suhaili,Director,Alfred Pui,Manager,1997,"Lot 8729, 126-B, Tingkat 1, 
Green Heights Commercial, 
Jalan Lapangan Terbang, Kuching
",93250,Sarawak,Malaysia,6082-450 910,"MS1058 : Part 2 : 2002, ISO 4427
","Pipe Extrusion
","Pipe and Water Tank
","Asia
",,,,,,,,
"
Well Industries Sdn Bhd(129741-D)",Liew Tze Chou,None,Liew Tze Chou,None,1966,"2, Jalan Bakawali 72, 
Taman Johor Jaya, 
Johor Bahru
",81100,Johor,Malaysia,607-354 4570/571,607-354 5306,"
wellinti@streamyx.com
,","PP Strapping Bands, Fully-Auto Strapping Machines, Semi-Auto Strapping Machines, Hand Tools, Metal Clips, Plastic Buckles
,Films and Bags","United States, Australia, New Zealand, Hong Kong, China, United Arab Emirates, Mauritius, Vietnam, ASEAN Natons
",None,None,,,,,,
"
Weng Foong Trading Co Sdn Bhd",Leong See Kang,None,Leong See Kang,None,1972,"10-12, Persiaran Perindustrian Pengkalan 3, 
Kawasan Perindustrian Pengkalan, 
Lahat
",31500,Perak,Malaysia,605-312 5922,603-322 5832,"PE, PP
",None,None,None,None,,,,,,
"
Wenhong Plastic Industry Sdn Bhd",Chai Ko Hiuk,None,None,None,1995,"Lot 73, Block 45, Jalan Batu Kitang, 
PO Box 1603, 
Kuching
",93732,Sarawak,Malaysia,6082-611 197,6082-613 212,"
whpi@pd.jaring.my
,","WENHONG
","Sweden, Hawai, Argentina, Brunei, Europe
",None,None,None,,,,,
"
Wespack Waste Management Sdn Bhd(347556-T)",Chin Yoong Kong,Managing Director,None,None,1995,"8A, Jalan Awan Hijau, 
Taman OUG
",58200,Wilayah Persekutuan,Malaysia,603-7989 1111,603-7972 3253,"
sales@wespack.com.my,richard@wespack.com.my
,","
www.weapack.com.my,","ABS, CA, CP, EVA, EP, EPS, PA, PC, PE, PET, POM, PP, PS, PVC
","Extrusion Pelletising, Recycling
","Recycled Resin for Extrusion Grade/Film Grade/Blow Mould Grade/Injection Grade
,Agricultural,Bathroom/Toilet","Germany, Australia, United States, France, United Kingdom, Thailand, India
",None,None,,,
"
Wilayah Plastic Sdn Bhd(74982-V)",CP Lam,Managing Director,CP Lam,Managing Director,"4 & 6, Jalan Taming Enam, 
Taman Taming Jaya, Off Jalan Balakong, 
Kajang
",43300,Selangor,Malaysia,603-8961 5072/5073,603-8961 5075,"
cplam@wilayahplastic.com.my
,","Thermoplastic
","Injection Moulding , Ultrasonic Welding, Hot Stamping, Assembly
","OEM Manufacturing
, OEM Manufacturing","Japan, Australia, Singapore, China, Italy
",None,None,,,,,
"
Win Sin Manufacturer",Lim Tow Aun,Marketing Director,None,None,None,"12-14, Persiaran Industri Bercham 10, 
Kawasan Perindustrian Ringan Bercham, 
Off Jalan Bercham, Perak
",31400,Perak,Malaysia,605-545 7881,605-546 3880,"
winsin_lim@yahoo.com
,","PET, PP, PS, PVC
","Thermoforming , Silkscreen-painting, Pad-printing, Vacuum Forming
","Vacuum Forming Tray for Packaging
,Containers and Bottles, Houseware, OEM Manufacturing",None,None,None,None,None,,
"
Win Smith Packaging Sdn Bhd(586741-K)",Ong Seng Yin,Director,Ong Seng Yin,Director,1996,"PT 5864, Jalan Johan 1/5, 
Taman Perindustrian Pengkalan II, 
Pusing
",31550,Perak,Malaysia,605-365 6213,605-365 6212,"
winsmithpackaging@gmail.com
,","
www.winsmith.com.my,","PVC
","Film Blowing/Film Extrusion, Gravure Printing
","PVC Shrink Label
,Films and Bags","Brunei, Singapore, Philipines, Indonesia
",,,,,
"
Winner Plastics Industries Sdn Bhd(164328-A)",Tan Cheow Ho,Executive Director,Lim Kong Tee,General Sales Manager,1994,"13, Hala Jati Meru 10, 
Taman Meru Industrial Estate, 
Ipoh
",30020,Perak,Malaysia,605-527 6349/50,605-527 6362,"
wpi_isp@hotmail.com
,","WINNER
","ISO MS 9001 : 2008
","ABS, PE, PP, PS
","Injection Moulding , Spray-painting,Silkscreen-painting
","Electrical and Electronic Product, Industrial Parts, Industrial Containers, Packaging Containers and Household Wares
,Containers and Bottles,Electrical and Electronics, Houseware, Industrial and Construction",,,,,
"
Winsheng Plastic Industry Sdn Bhd(272872M)",Tan Chen Wei,CEO,Liew Young Choong,COO,1993,"16, Jalan Hasil 2, 
Kawasan Perindustrian Jalan Hasil, 
Tampoi
",81200,Johor,Malaysia,607-233 3333,607-233 3389,"
samm.cheah@winsheng.com.my,eddie.lau@winsheng.com.my
,","
www.winsheng.com.my,","ISO 9001 : 2000, ISO/TS 16949 : 2002, OHSAS 18001 : 2007, ISO 14001 : 2004, ISO 22
","ABS, PC, PMMA, POM,PS, AS, Nylon, ABS/PC, Elastomer, MS
","Injection Moulding , Spray-painting,Silkscreen-painting, Tooling Designs and Fabrication, Tampo, Hot Stamping, UV Spraying and Printing, Laser Marking,Assembly Process and Sputtering Process
","Audio Parts, Video Parts, Car Audio Parts, Automotive Products, Telecommunications Parts, Handphone Products, Food Products
,Electrical and Electronics, Medical, Telecommunication",,,,,
"
Wohltec Medical Sdn Bhd(1234539-X)",Liew Yew Aw,Director,Ian Liew Sun Yuen,Executive Director,2017,"65, Jalan Perindustrian Silibin 1, 
Kawasan Perindustrian Ringan Silibin
",30100,Ipoh,Perak,Malaysia,605-525 3813/525 3819,605-525 3833,"
yaliew@wohltec.com,info@wohltec.com
,","
www.wohltec.com,","WOHLTEC, UC PLUS
","ISO 13485 : 2016; ISO 9001 : 2015
","ABS, PP, PVC, Silicone Rubber
",,,,,
"
Yanta Plastic Industry Sdn Bhd",Chuah Kay Buan,Managing Director,Chuah Kay Buan,1968,"493, Simpang Juru, Juru Village, 
MK 13, Simpang Ampat, Bukit Mertajam, 
Province Wellesley
",14100,Pulau Pinang,Malaysia,604-507 2715,604-507 1253,"PP, LDPE
","Film Blowing/Film Extrusion
","Printed/Non-printed Bags
,Films and Bags",None,None,None,None,,,,,
"
YB Enterprise Sdn Bhd(166255-D)",Yap Koon Faat,Managing Director,Yeoh Beng See,Administration Manager,1987,"Lot 4161, Jalan Baling, 
Padang Meha Industrial Estate, 
Padang Serai
",9400,Kedah,Malaysia,604-485 2977/3977,604-485 2988,"
yap@ybgroup.com
,","
www.ybgroup.com,","Recycling
","Recycled Resin in All Forms
","China, Indonesia, Thailand, Vietnam
",None,,,,,
"
Yee Hup Foam & Packaging Industries Sdn Bhd(433652-V)",YK Low,Director,Andy Low,Senior Sales Manager,1997,"PT538 (Lot 7878), 
Penempatan Bukit Cheraka Mukim Bukit Raja, 
Shah Alam
",40150,Selangor,Malaysia,603-78475319,603-7847 5320,"
info@yeehup.com
,","
www.yeehup.com,","STYROPOR
","ISO 9001 : 2008
","EPS, PS
","Foam Moulding
",,,,,
"
Yeka Plastics Industries Sdn Bhd(687347-A)",Ang Hong Lim,Director,Michelle Ong/MM Ong,Production Department,1986,"Lot 46100, 
Jalan Seelong, 
Mukim Tebrau
",81100,Johor,Malaysia,607-599 5599,607-599 5958,"
sales@yeka.com.my
,","
www.yeka.com.my,","PP, LDPE, HDPE, LLDPE
","Film Blowing/Film Extrusion , Recycling
","LDPE Sheet, Construction Flim, HDPE/LDPE Garbage Bags, HDPE Carrier Bags & HDPE/LDPE/PP Bags, Multi Colour Printing Bags, Plastic Scrap Recycled, Soft Loop Bags, Hand Loop Bags, Side Seal Bags
,Films and Bags, Industrial and Construction","Singapore
",,,,,
"
Yew Lee Industrial Brush Sdn Bhd(368415-V)",YBhg Datuk Tan Tian Teo,CEO,Nicole Tan,Executive Director,1975,"17 & 19, Jalan Jasa Merdeka 12, 
Taman Datuk Tamby Chik Karim, 
Batu Berendam
",75350,Melaka,Malaysia,606-3176895/ 3176448,606-3176896,"
info@yewlwwbrush.com,nicoletan@yewlwwbrush.com,Emilytan@yewleebrush.com
,","
www.yewleebrush.com,","Yew Lee
","ISO 9001 : 2000, ISO 14001 : 2004
","PA, PP, Stainless Wire, Monofilament
","Brush Manufacturing
",,,,,
"
Yichung Plastic Industries Sdn Bhd",Hon Chong Chow,Managing Director,Hon Chong Chow,Managing Director,1986,"PO Box 3052, 
Kuching
",93760,Sarawak,Malaysia,6082-615 878,6082-615 778,"PP, HDPE, LDPE, LLDPE
","Film Blowing/Film Extrusion
","LDPE/HDPE/PP bags (including industrial bags)
,Films and Bags",None,None,None,,,,,
"
Yong-Li Industries Sdn Bhd(440610-M)",Tan Boon Tian,Manager,Tan Boon Tian,Manager,1983,"189, Jalan Murni 10, 
Taman Perindustrian Murni, 
Senai
",81400,Johor,Malaysia,607-5909 638,607-598 8175,"
plastikyong@hotmail.com
,","HD, PE, PP
","Film Blowing/Film Extrusion
","Bags, Films (Shrinkable), Packaging (Electronics) , Packaging (Food)
,Films and Bags","Singapore
",None,,,,,
